Latitude,Longitude,Year,Month,Ocean,Sample_Method,Concentration_pieces_m3,Risk_Label
24.8,-75.65,1996,2,Atlantic Ocean,Neuston net,0.00432,Low
28.78,-57.3,1991,10,Atlantic Ocean,Neuston net,0.120952,High
23.95,-57.68,1999,11,Atlantic Ocean,Neuston net,0.0,Low
21.72,-64.54,2005,5,Atlantic Ocean,Neuston net,0.134988,High
26.25,-78.95,1996,3,Atlantic Ocean,Neuston net,0.030236,Low
25.89,-79.64,2007,2,Atlantic Ocean,Neuston net,0.0,Low
25.7429,-80.0865,2015,6,Atlantic Ocean,Grab sample,0.003,Low
27.9899,-82.6316,2016,6,Atlantic Ocean,Van Dorn sampler,0.0,Low
16.02,-58.47,1996,11,Atlantic Ocean,Neuston net,0.0,Low
13.7395,-44.58,2014,12,Atlantic Ocean,Grab sample,0.002,Low
16.8667,-49.25,2015,2,Atlantic Ocean,Grab sample,0.017,Low
30.09175,-133.8008,2015,9,Pacific Ocean,Manta net,2.206101,High
23.35,-144.31,2012,1,Pacific Ocean,Neuston net,0.0,Low
24.1633,-110.3172,2013,12,Pacific Ocean,Grab sample,0.007,Low
13.9,-65.93,1994,12,Atlantic Ocean,Neuston net,0.0,Low
17.34,-73.36,2001,12,Atlantic Ocean,Neuston net,0.0,Low
19.5,-74.05,1998,4,Atlantic Ocean,Neuston net,0.00648,Low
17.02,-63.43,1993,12,Atlantic Ocean,Neuston net,0.00216,Low
16.34,-62.91,2003,12,Atlantic Ocean,Neuston net,0.0,Low
15.26,-62.65,1987,12,Atlantic Ocean,Neuston net,0.004152,Low
-30.5678,-22.9272,2011,1,Atlantic Ocean,Neuston net,3.218619,High
-34.96585,13.93202,2017,7,Atlantic Ocean,Neuston net,0.0,Low
5.79,-147.72,2009,4,Pacific Ocean,Neuston net,0.0,Low
3.48,-143.62,2011,4,Pacific Ocean,Neuston net,0.0,Low
19.73,-146.63,2007,11,Pacific Ocean,Neuston net,0.0,Low
19.24,-143.41,2012,2,Pacific Ocean,Neuston net,0.0,Low
32.840167,34.951833,2014,7,Atlantic Ocean,Manta net,1.513241,High
37.5,26.3,2015,6,Atlantic Ocean,Manta net,0.066667,Low
85.575,11.2663,2016,8,Arctic Ocean,Intake seawater pump,1.0,High
-15.27,-148.78,2003,3,Pacific Ocean,Neuston net,0.0,Low
20.61,-155.0,2004,11,Pacific Ocean,Neuston net,0.0,Low
20.14,-148.94,2009,6,Pacific Ocean,Neuston net,0.0,Low
26.61,-153.31,2019,6,Pacific Ocean,Manta net,0.63396,High
40.58,-157.79,2006,3,Pacific Ocean,Neuston net,0.043748,Low
41.753333,3.063333,2015,6,Atlantic Ocean,Manta net,0.335,High
49.4856,-124.3535,2015,8,Pacific Ocean,Grab sample,0.0,Low
42.696733,10.32925,2018,6,Atlantic Ocean,Manta net,0.020988,Low
60.797,-148.093,2016,9,Pacific Ocean,Grab sample,0.0,Low
56.423167,-2.472833,2018,1,Atlantic Ocean,Neuston net,0.0,Low
31.3751,-41.7579,2013,6,Atlantic Ocean,Neuston net,1.120481,High
36.609833,-3.896333,2018,6,Atlantic Ocean,Manta net,0.016375,Low
31.7012,-12.288867,2013,9,Atlantic Ocean,Manta net,0.216199,High
36.156167,-23.8035,2014,7,Atlantic Ocean,Manta net,0.739937,High
37.991333,15.4615,2021,9,Atlantic Ocean,Manta net,0.046479,Low
41.3565,9.3491,2014,10,Atlantic Ocean,Manta net,0.584957,High
32.4396,-133.72655,2015,9,Pacific Ocean,Manta net,2.189049,High
42.23,-70.24,2002,7,Atlantic Ocean,Neuston net,0.0,Low
41.03,-68.58,1994,8,Atlantic Ocean,Neuston net,0.00216,Low
40.66,-69.97,2005,9,Atlantic Ocean,Neuston net,0.0,Low
41.54,-66.64,1998,9,Atlantic Ocean,Neuston net,0.0,Low
26.76,-65.67,2007,5,Atlantic Ocean,Neuston net,0.007856,Low
30.97,-66.37,1997,4,Atlantic Ocean,Neuston net,0.01512,Low
28.48,-73.48,1991,4,Atlantic Ocean,Neuston net,0.0,Low
28.6895,-14.0139,2015,3,Atlantic Ocean,Grab sample,0.008,Low
34.0587,-139.9829,2009,8,Pacific Ocean,Manta net,2.1,High
40.4037,-148.0525,2011,11,Pacific Ocean,Neuston net,1.162565,High
20.4494,-86.9901,2014,2,Atlantic Ocean,Grab sample,0.002,Low
30.03,-59.88,1992,10,Atlantic Ocean,Neuston net,0.097192,High
24.84,-71.45,2004,2,Atlantic Ocean,Neuston net,0.00324,Low
28.54,-116.09,2001,10,Pacific Ocean,Neuston net,0.0,Low
25.73,-77.08,1996,4,Atlantic Ocean,Neuston net,0.140388,High
27.897,-82.4382,2017,7,Atlantic Ocean,Van Dorn sampler,1000.0,High
24.59,-143.47,2008,4,Pacific Ocean,Neuston net,0.041396,Low
28.41,-140.21,2012,10,Pacific Ocean,Neuston net,2.818452,High
27.84,-140.77,2012,5,Pacific Ocean,Neuston net,0.0,Low
28.54,-140.09,2011,2,Pacific Ocean,Neuston net,0.0,Low
29.87705,-137.6065,2015,8,Pacific Ocean,Manta net,3.551559,High
30.993983,-139.5495,2015,8,Pacific Ocean,Manta net,5.997055,High
19.09,-77.96,2000,3,Atlantic Ocean,Neuston net,0.01512,Low
19.55,-59.93,1995,11,Atlantic Ocean,Neuston net,0.0,Low
15.1867,-54.7137,2014,11,Atlantic Ocean,Grab sample,0.004,Low
15.7974,-52.1839,2014,12,Atlantic Ocean,Grab sample,0.005,Low
17.0117,-42.6883,2014,11,Atlantic Ocean,Grab sample,0.022,Low
-27.013,-107.57014,2015,10,Pacific Ocean,AVANI net,0.085555,High
-34.3065,7.1063,2010,12,Atlantic Ocean,Neuston net,0.218032,High
